Record_ID,Fiscal_Quarter,Department,Expense_Category,Budget_Allocated,Budget_Utilized,Monthly_Expense,Revenue_Forecast,Actual_Revenue,Budget_Variance,Revenue_Variance,Expense_Growth_Rate,Seasonal_Index,Spending_Volatility,Rolling_Expense_Mean,Rolling_Revenue_Mean,Inflation_Rate,Market_Index,Allocation_Efficiency,Budget_Status
45,Q4,Operations,Infrastructure,136614.9,77454.25,9518.24,248230.77,273892.42,-14723.6,9588.63,-2.33,1.17,0.379,10028.16,218160.53,4.27,104.94,96.49,Efficient
46,Q4,Marketing,Technology,233504.95,107190.51,7560.13,128174.63,250525.06,7303.98,21644.37,2.62,1.24,0.242,6020.21,201115.51,5.27,114.18,83.18,Moderate
47,Q4,Marketing,Maintenance,140024.85,129272.61,16949.52,158157.97,228583.9,17244.13,18493.73,2.29,0.82,0.282,9001.78,102796.66,5.9,119.65,90.21,Inefficient
48,Q3,IT,Maintenance,198860.74,184208.84,15324.7,166634.48,152144.57,1601.93,11879.06,7.66,1.06,0.154,16356.04,205446.91,2.07,100.12,78.21,Inefficient
49,Q2,Marketing,Operations,143393.48,47558.81,17810.34,140088.3,226497.65,-12527.21,-15333.65,-2.76,1.08,0.31,6234.48,162436.86,3.09,105.74,85.37,Moderate
50,Q2,Sales,Salaries,95560.15,106578.15,5890.85,91518.54,245246.5,1075.54,11603.72,1.78,1.02,0.064,14317.17,225150.06,5.52,105.73,79.12,Inefficient
51,Q3,Marketing,Training,89870.03,197069.3,4250.85,96296.1,234489.28,8277.64,6789.47,4.55,1.05,0.349,8463.21,219195.48,4.01,106.46,88.95,Inefficient
52,Q2,Sales,Operations,135086.24,175817.25,5029.52,138570.16,217282.43,10791.54,13627.34,9.18,1.16,0.115,14695.01,240196.24,4.61,120.14,76.38,Moderate
53,Q3,Logistics,Infrastructure,201098.93,187689.29,5737.31,259016.08,75604.53,948.08,18440.7,8.49,1.04,0.141,11689.21,92797.45,5.43,115.74,80.02,Inefficient
54,Q4,Operations,Technology,171014.3,203303.1,12062.41,100964.36,213435.86,-11305.28,-9426.24,3.01,1.26,0.05,13275.48,200741.72,4.63,120.06,87.75,Inefficient
55,Q3,R&D,Operations,187725.86,197730.97,19505.51,240807.16,172616.3,17067.55,7215.2,4.1,1.07,0.175,8161.55,144102.39,6.18,112.93,78.5,Moderate
56,Q4,IT,Training,106465.27,178025.72,9073.0,136440.04,281353.09,10944.7,-11243.09,7.79,0.84,0.205,7185.54,211918.92,3.9,128.44,77.82,Inefficient
57,Q4,Marketing,Training,146287.07,130734.0,19294.64,273196.94,201617.72,-9172.46,-7685.75,6.17,1.28,0.144,5823.01,182435.61,5.46,113.22,80.65,Inefficient
58,Q1,Sales,Maintenance,58879.05,236801.67,3649.41,168515.55,201851.13,12472.52,1032.23,8.19,0.87,0.142,15732.5,164248.7,4.13,116.12,87.41,Moderate
59,Q3,Sales,Infrastructure,213506.48,155969.27,18756.83,109496.36,288662.42,-6085.49,-3291.83,8.44,1.19,0.407,14236.3,80719.89,4.65,105.44,79.33,Moderate
60,Q1,Logistics,Operations,247978.43,84540.0,6079.59,296744.22,86057.25,-7502.75,5031.53,7.49,1.06,0.181,8813.58,183218.7,2.57,97.06,82.17,Efficient
61,Q3,Sales,Salaries,131375.81,102098.51,18512.07,110625.94,127171.16,14523.07,12938.07,-4.86,1.17,0.339,15879.87,151464.66,6.16,123.54,70.59,Inefficient
62,Q3,R&D,Operations,52192.73,180244.68,3955.87,200552.56,212617.87,14929.41,5251.0,-0.34,1.06,0.145,15838.06,136529.65,3.6,124.98,89.6,Inefficient
63,Q1,HR,Maintenance,83958.53,225324.22,19119.73,200935.89,135928.16,-4060.74,23490.02,1.05,0.83,0.374,6790.87,248090.96,3.51,124.78,92.73,Efficient
64,Q1,Finance,Training,180505.38,79850.43,6413.57,155747.09,142883.78,-19643.09,11906.0,5.17,0.99,0.321,14277.94,199062.29,2.44,123.06,93.16,Efficient
65,Q3,R&D,Infrastructure,172415.86,61057.57,8146.14,288842.38,265845.11,-12537.38,24250.59,-0.4,1.11,0.352,8799.66,171780.41,4.53,104.4,85.39,Efficient
66,Q2,Operations,Infrastructure,207572.94,216898.55,11346.02,264091.15,195354.63,16371.85,12172.04,-0.15,1.11,0.226,11073.46,227682.85,4.09,115.12,81.9,Inefficient
67,Q4,R&D,Salaries,100776.8,223479.21,9472.25,260858.5,88144.76,15949.97,395.94,1.0,1.29,0.402,10591.88,118606.7,2.49,123.52,75.21,Inefficient
68,Q1,Logistics,Infrastructure,202726.38,98893.97,14347.98,294054.95,134944.08,-1866.21,-4449.71,9.33,1.1,0.2,12802.39,185384.32,5.76,116.89,88.37,Efficient
69,Q4,Logistics,Maintenance,187596.8,118570.72,19571.73,175135.15,82113.13,-7835.33,11783.02,1.56,0.94,0.29,9512.72,226357.16,2.33,128.55,86.15,Efficient
70,Q2,R&D,Maintenance,114562.9,173736.66,13309.25,92352.73,190129.24,-7890.07,9356.22,-2.89,0.82,0.306,5952.3,101009.56,2.73,118.72,82.04,Efficient
71,Q2,Marketing,Maintenance,159097.63,109336.35,15265.25,246054.86,103985.34,15887.79,8438.24,-4.9,1.19,0.431,13744.45,120135.15,4.3,114.62,87.21,Moderate
72,Q2,HR,Infrastructure,79454.76,216045.95,4496.09,157586.89,257850.91,-7010.67,11089.19,-1.45,1.24,0.104,17487.42,94047.48,3.79,129.84,96.72,Inefficient
73,Q1,Marketing,Infrastructure,140512.9,65977.85,13672.81,113779.38,194895.66,463.21,18608.61,9.08,1.11,0.104,13682.28,248715.38,3.38,113.71,73.8,Moderate
74,Q2,Marketing,Maintenance,226239.47,52406.53,10715.45,181146.89,78359.52,9240.44,-13611.98,9.32,1.04,0.235,12014.87,178755.18,4.82,128.84,97.01,Inefficient
75,Q1,R&D,Infrastructure,134238.28,85654.81,18058.3,282915.36,132697.02,-11620.76,3244.74,2.94,1.23,0.417,7127.08,163212.58,4.62,95.43,85.97,Inefficient
76,Q2,IT,Infrastructure,217913.34,100787.12,9599.59,109412.11,203675.98,-9846.44,5165.06,4.7,0.92,0.059,13127.31,137533.98,4.16,114.25,93.3,Inefficient
77,Q4,IT,Training,168050.67,67020.69,14550.72,265200.73,140487.12,-5677.52,-10357.16,6.94,1.0,0.161,12944.13,156406.53,5.88,105.11,97.82,Moderate
78,Q4,IT,Operations,88375.34,57809.63,6878.61,166187.14,180464.75,6168.94,24397.48,-4.16,1.05,0.163,13043.79,211895.7,4.49,108.85,96.0,Inefficient
79,Q3,HR,Technology,166221.25,192343.5,7409.33,101464.46,269606.52,12699.63,14276.9,0.61,0.82,0.172,16600.07,235842.03,6.89,98.08,81.18,Moderate
80,Q4,Marketing,Infrastructure,151196.67,77033.93,9394.08,265127.93,143758.09,1868.23,-8936.69,4.63,1.14,0.06,14312.16,97840.68,6.01,104.25,82.82,Efficient
81,Q3,Finance,Technology,129728.27,223214.83,8169.08,293012.68,140571.39,-14682.85,-7078.28,8.47,0.89,0.38,15184.2,130937.0,2.53,114.94,86.96,Efficient
82,Q4,Operations,Technology,73926.09,116759.93,7315.94,136992.26,249445.29,-2150.18,10912.91,5.9,0.97,0.054,9073.41,112151.77,3.37,120.25,87.86,Efficient
83,Q1,IT,Training,133341.73,175768.13,3844.37,139813.33,136720.22,-14892.37,-24425.33,0.25,1.01,0.241,8514.88,154032.59,4.68,126.86,76.39,Moderate
84,Q4,IT,Infrastructure,64552.48,88953.41,17224.69,159825.58,82540.63,-16468.11,-1797.98,8.65,1.12,0.073,7688.15,170182.31,4.34,103.11,96.54,Efficient
85,Q3,Logistics,Maintenance,69753.81,91862.94,4093.13,257249.98,105712.61,3584.67,-7844.45,4.97,0.83,0.369,15118.82,202617.59,2.23,122.84,93.18,Efficient
86,Q3,Marketing,Technology,133183.31,157068.29,18085.21,72395.96,278480.06,18248.48,17700.15,7.45,0.97,0.349,14081.65,228861.89,4.64,95.86,73.65,Efficient
87,Q2,Marketing,Infrastructure,111076.3,154325.37,5132.91,121510.01,274990.88,13504.47,14564.75,0.78,0.94,0.339,9447.22,172162.07,5.03,126.28,97.76,Efficient
88,Q1,HR,Salaries,235108.87,194902.2,4109.45,232356.96,115582.72,10978.85,-8395.15,-4.97,0.8,0.345,6834.38,163090.66,4.32,115.82,97.89,Inefficient
89,Q4,HR,Maintenance,125141.16,192773.59,12571.08,163297.07,189537.92,9082.24,18239.85,-2.51,1.15,0.426,16006.67,177878.0,6.33,124.6,79.92,Efficient
90,Q2,IT,Salaries,201571.62,175784.11,11541.51,145967.99,95907.82,15885.11,20680.0,8.91,0.92,0.217,9995.61,231029.73,4.78,103.93,93.75,Moderate
91,Q4,Marketing,Salaries,156049.51,132580.46,11350.99,270625.06,216802.47,10113.4,2622.94,-4.5,0.88,0.395,7466.74,190252.81,5.93,108.06,77.3,Inefficient
92,Q4,Finance,Technology,190817.13,218674.88,12766.57,280986.8,106693.8,5075.09,-17038.15,3.94,1.2,0.124,6877.34,213853.31,4.93,98.4,74.48,Efficient
93,Q2,Operations,Salaries,102023.2,166402.81,7879.96,288036.83,76202.85,-5412.8,13516.4,1.14,0.82,0.231,16955.84,202313.86,6.55,97.76,93.92,Inefficient
94,Q2,R&D,Training,238380.99,238088.71,14270.14,132686.62,250601.78,-15962.24,-9032.79,1.44,1.25,0.054,6692.12,236996.48,3.07,123.93,85.71,Inefficient
95,Q2,Marketing,Training,156017.7,204777.11,11540.84,279877.9,138215.09,-1558.67,1364.07,1.01,1.14,0.164,9675.75,218879.38,6.16,105.39,71.72,Moderate
96,Q2,Logistics,Technology,216264.81,53640.41,8690.64,239502.08,89417.54,16991.37,-22720.57,-3.99,0.89,0.233,13218.49,138004.71,4.24,107.34,93.31,Moderate
97,Q2,R&D,Infrastructure,123009.14,107515.81,17050.51,105469.39,252628.39,3324.01,4.52,-3.17,0.98,0.414,10304.99,225242.66,5.49,113.57,80.74,Efficient
98,Q4,Marketing,Operations,70042.27,156515.76,15371.26,210362.11,236539.43,-12619.83,-5986.77,-4.06,1.27,0.177,11206.99,159465.8,4.83,118.47,74.73,Inefficient
99,Q2,Sales,Infrastructure,184742.33,185686.56,9691.38,76057.01,218845.65,5960.93,9303.26,-4.19,1.11,0.319,15434.08,224027.85,2.54,96.63,84.76,Moderate
100,Q1,HR,Infrastructure,51551.93,152315.62,17409.5,232926.98,270030.96,-1381.51,-22960.82,-3.72,1.1,0.384,17990.05,233976.85,4.18,115.1,83.16,Inefficient
101,Q3,Logistics,Infrastructure,145058.6,198295.43,18644.39,238720.53,175075.87,17255.2,6247.27,5.45,1.13,0.181,11073.83,196495.8,5.37,116.35,92.5,Efficient
102,Q2,Operations,Infrastructure,88560.38,100117.85,12126.73,251547.86,93812.71,-13562.4,13597.8,-3.29,1.03,0.118,9924.75,202210.12,6.49,124.76,83.41,Inefficient
103,Q2,IT,Maintenance,175475.1,80862.85,6654.19,109680.76,78802.94,8480.47,-24361.09,-1.08,0.88,0.286,10287.92,103988.42,3.09,100.41,88.6,Moderate
104,Q4,Logistics,Operations,245883.97,55513.75,18568.47,214497.49,136649.23,7264.1,12498.17,4.85,0.88,0.164,9798.41,135053.64,3.78,110.76,79.91,Efficient
105,Q2,Marketing,Maintenance,142880.58,156796.18,6221.15,111137.04,84536.94,19341.66,-18489.8,-3.32,1.14,0.311,11159.03,174814.52,3.8,111.6,73.07,Moderate
106,Q2,IT,Salaries,213499.65,179276.91,3823.19,287729.52,185489.62,2596.49,9902.81,8.65,1.24,0.104,9330.41,80597.57,4.62,124.66,71.22,Inefficient
107,Q2,Marketing,Infrastructure,151556.84,108599.19,8567.28,225252.46,68262.28,14862.96,-2236.18,2.16,0.95,0.111,11014.01,224037.24,6.32,107.69,78.98,Efficient
108,Q4,IT,Training,149168.01,164648.92,15358.43,91924.95,164846.74,-19011.44,2599.57,9.45,1.05,0.32,17290.94,142811.52,3.98,97.84,88.72,Efficient
109,Q2,Operations,Technology,236084.7,55170.66,18695.66,113017.41,105153.57,-15084.32,-8132.64,-2.11,1.3,0.439,8720.77,202977.71,2.73,116.04,70.3,Efficient
110,Q3,HR,Technology,227993.17,64362.2,13833.86,222595.82,147860.31,-6162.46,-12726.68,-4.54,0.93,0.149,13474.37,210780.6,4.53,118.17,76.97,Efficient
111,Q4,Operations,Maintenance,207160.09,181842.18,19181.26,179634.21,216882.67,4773.1,-21447.63,3.85,1.0,0.336,11330.14,173174.12,2.19,115.38,74.24,Efficient
112,Q3,Sales,Maintenance,109251.15,116773.59,4570.3,239348.46,143966.85,-2036.83,18234.5,-0.07,0.98,0.263,14521.15,214338.51,3.72,112.15,82.95,Moderate
113,Q4,Finance,Training,159001.68,175910.14,4032.81,134581.42,141801.47,-11892.15,5521.46,3.59,0.82,0.388,11139.8,196009.33,4.57,102.46,90.9,Efficient
114,Q2,HR,Infrastructure,94779.45,207185.62,13271.26,221321.03,287918.91,3568.15,24139.96,2.1,1.05,0.206,7087.05,141173.57,4.59,113.85,85.48,Efficient
115,Q3,Operations,Operations,138783.34,211261.38,19423.98,110700.84,226733.31,2667.96,17522.6,1.86,0.9,0.439,16341.44,218746.52,6.1,96.26,87.03,Moderate
116,Q4,Sales,Salaries,146842.61,78572.69,11546.26,195053.36,180618.89,977.9,18481.66,7.77,0.86,0.083,13784.97,188129.43,6.01,114.84,96.49,Inefficient
117,Q1,Finance,Technology,216328.01,139825.69,3875.76,290293.91,195359.52,-16377.76,4892.48,-2.12,1.16,0.444,11836.32,107234.81,3.41,112.12,82.8,Efficient
118,Q2,Sales,Salaries,229205.67,188115.71,6760.72,214491.11,204541.09,17081.02,-20952.86,2.49,1.18,0.388,15804.09,211380.1,3.51,128.34,92.79,Efficient
119,Q4,Marketing,Operations,132924.01,195926.22,7161.48,81498.53,70529.46,3690.21,20669.81,1.24,1.24,0.397,17690.41,194951.79,6.91,106.2,79.63,Efficient
120,Q1,R&D,Maintenance,53540.89,198011.82,8743.57,297415.29,83059.53,-9440.33,-19105.69,5.11,1.27,0.387,10322.19,128390.66,3.96,95.76,87.37,Inefficient
121,Q4,Marketing,Technology,222354.77,89492.63,3741.26,106079.26,211067.6,7496.73,857.3,-4.25,1.23,0.395,9589.8,223136.28,2.71,121.6,91.51,Moderate
122,Q1,IT,Salaries,84855.74,82544.29,18383.18,235155.89,147005.49,-7283.68,17842.79,2.94,0.86,0.376,14796.7,143581.28,5.28,100.87,93.16,Moderate
123,Q2,HR,Maintenance,174376.39,160052.43,11764.59,192481.91,77474.91,234.24,-1379.6,2.18,0.91,0.41,10909.87,173965.68,3.22,114.06,76.22,Moderate
124,Q3,Marketing,Operations,54994.18,189511.73,14405.82,137702.96,131940.48,-6354.73,-16716.48,9.6,0.86,0.234,6115.0,138337.13,5.02,102.52,77.14,Inefficient
125,Q1,Logistics,Salaries,129901.3,107232.21,4141.94,110781.41,94313.77,15215.76,-6340.16,6.34,0.98,0.426,9607.39,203142.37,6.11,113.88,80.55,Moderate
126,Q4,Sales,Infrastructure,247192.06,65417.51,3919.96,110871.54,271170.61,19759.22,24419.37,-2.68,0.86,0.204,15512.22,178799.27,2.87,115.34,77.0,Efficient
127,Q2,HR,Maintenance,70138.72,184765.54,12969.95,267431.93,110658.21,-13552.72,24987.96,2.64,1.13,0.341,14187.02,159949.82,4.26,118.16,85.12,Moderate
128,Q1,R&D,Operations,134738.63,103441.08,18084.03,270769.88,97330.52,-19056.84,10541.75,6.76,1.16,0.334,16216.97,83454.3,3.91,108.05,92.6,Moderate
129,Q4,Logistics,Salaries,111429.99,77440.73,11984.19,176983.47,205887.98,-11227.1,19399.62,2.87,0.88,0.378,6906.14,183221.38,7.0,97.14,74.3,Inefficient
130,Q4,Marketing,Infrastructure,231017.62,73806.09,17922.93,93832.94,182430.18,3598.08,-22789.66,0.35,1.11,0.345,8170.98,185799.86,5.56,115.89,81.41,Efficient
131,Q4,IT,Infrastructure,223868.02,106407.36,16786.85,273357.97,194584.8,-13041.95,-11201.42,0.65,0.81,0.064,7791.56,110810.01,2.41,125.26,90.35,Inefficient
132,Q1,Operations,Operations,97539.75,160572.22,4289.51,182013.79,163088.33,12459.38,-6552.02,0.51,1.02,0.346,17627.33,136492.56,3.14,113.39,89.7,Inefficient
133,Q1,IT,Training,66237.56,114888.44,6433.28,170915.36,170113.09,-3653.18,-24400.12,-4.7,0.94,0.059,7196.02,229393.94,2.79,103.76,76.69,Inefficient
134,Q1,Logistics,Technology,175427.68,49029.06,14181.08,163692.12,240229.45,4421.31,-6151.92,5.96,1.3,0.263,12773.09,173358.18,2.08,109.47,88.49,Efficient
135,Q3,Finance,Operations,117273.74,63897.14,10539.52,153953.26,114482.49,-1775.29,-20348.42,4.16,1.26,0.386,13227.88,153963.55,3.58,113.91,97.07,Efficient
136,Q1,Marketing,Infrastructure,184416.88,101648.13,7941.9,190981.24,154219.09,16133.12,870.47,-0.97,0.87,0.382,13045.61,239113.5,3.62,98.07,87.54,Inefficient
137,Q1,Logistics,Infrastructure,56423.95,173642.37,10116.78,209044.48,280510.71,-18594.59,-24779.03,4.45,1.26,0.387,13991.62,218030.74,3.17,114.88,79.16,Moderate
138,Q1,Finance,Operations,76679.85,64210.44,10568.39,177279.41,107746.78,9172.08,-11477.51,-0.37,1.01,0.291,11290.98,96570.24,4.77,98.83,84.42,Inefficient
139,Q3,Finance,Training,187274.45,154328.09,18479.39,276229.08,131099.06,6086.89,18314.17,-1.35,1.09,0.124,6087.95,226017.65,3.09,101.22,79.46,Efficient
140,Q1,Sales,Technology,92474.13,68377.74,4758.79,143062.08,108102.56,5980.6,-14347.1,6.12,1.07,0.253,14116.07,105455.05,6.71,108.76,84.89,Moderate
141,Q4,HR,Salaries,221517.54,86264.99,7755.42,203011.73,69611.49,-3440.42,-21757.83,7.14,1.16,0.256,8654.36,109716.4,5.66,122.98,93.54,Moderate
142,Q1,Sales,Operations,61718.18,78576.76,12138.6,138989.4,125711.73,-19372.99,-12513.46,4.39,0.97,0.18,5986.34,92809.08,2.61,123.83,73.75,Efficient
143,Q4,Marketing,Technology,93096.4,58109.58,14870.88,243270.51,75455.18,7569.63,16377.94,6.76,0.83,0.22,7207.22,161829.69,3.34,104.89,81.56,Inefficient
144,Q4,Finance,Technology,249712.05,175909.31,13720.83,93487.85,99804.15,13178.85,4359.37,0.49,1.01,0.399,8733.85,189597.18,6.91,113.83,87.75,Efficient
145,Q4,R&D,Maintenance,136615.22,135363.69,19007.93,113400.77,146603.47,-16590.79,4303.72,-3.92,1.07,0.257,10621.71,208131.63,3.0,98.28,83.02,Inefficient
146,Q3,Logistics,Infrastructure,190593.13,207055.42,16525.35,254276.32,69662.27,-2335.3,-24971.3,4.07,1.08,0.332,16197.21,84543.3,2.58,129.92,91.88,Inefficient
147,Q3,Operations,Salaries,86532.61,64283.71,12470.31,112135.45,234415.23,-13496.21,-1392.44,-1.16,1.2,0.248,11974.53,110236.43,3.16,117.89,74.52,Inefficient
148,Q3,Finance,Operations,171973.75,73222.92,6649.61,213921.66,244007.53,4437.51,-11719.1,6.66,0.82,0.297,11135.57,185607.86,5.57,102.85,94.49,Inefficient
149,Q1,Logistics,Infrastructure,195221.21,104759.26,10664.86,293155.99,157568.11,11424.2,-8189.55,0.37,1.29,0.087,7486.35,169349.2,4.59,126.49,97.39,Efficient
150,Q4,R&D,Maintenance,112895.33,194343.87,14787.5,190264.84,286549.85,6668.26,4934.33,5.06,1.3,0.423,17470.42,88730.16,2.34,107.24,80.08,Inefficient
